PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr14-72	chr14	81221176	81221438	+	1	NA	promoter-TSS (ENST00000298173.7)	protein_coding-promoter-TSS (ENST00000298173.7)	70	ENST00000556268.1	ENSG00000165417	ENST00000434192			GTF2A1			protein_coding
chr5-93	chr5	32312927	32313189	+	1	NA	promoter-TSS (ENST00000264934.5)	protein_coding-promoter-TSS (ENST00000264934.5)	-71	ENST00000505419.5	ENSG00000150712	ENST00000280285			MTMR12			protein_coding
chr9-39	chr9	81070732	81070994	+	1	NA	Intergenic	Intergenic	-199568	ENST00000397864.2	ENSG00000226798	ENST00000397864			ENSG00000226798			lncRNA
chr1-21	chr1	114780616	114780878	+	1	NA	promoter-TSS (ENST00000060969.6)	protein_coding-promoter-TSS (ENST00000060969.6)	-62	ENST00000060969.6	ENSG00000052723	ENST00000506320			SIKE1			protein_coding
chr6-458	chr6	27792225	27792487	+	1	NA	Intergenic	Intergenic	-11245	ENST00000404972.2	ENSG00000218069	ENST00000404972			RSL24D1P1			processed_pseudogene
chr16-212	chr16	30060943	30061205	+	1	NA	intron (ENST00000395248.6, intron 5 of 15)	protein_coding-intron (ENST00000338110.11, intron 4 of 13)	-3090	ENST00000562302.1	ENSG00000149925	ENST00000395240			ALDOA			protein_coding
chr14-73	chr14	90396917	90397179	+	1	NA	promoter-TSS (ENST00000356978.9)	protein_coding-promoter-TSS (ENST00000356978.9)	8	ENST00000553630.1	ENSG00000198668	ENST00000553964			CALM1			protein_coding
chr1-128	chr1	205750297	205750559	+	1	NA	promoter-TSS (ENST00000367142.5)	protein_coding-promoter-TSS (ENST00000367142.5)	-246	ENST00000367142.5	ENSG00000069275	ENST00000464938			NUCKS1			protein_coding
chr8-16	chr8	133216513	133216775	+	1	NA	intron (ENST00000517423.5, intron 2 of 2)	protein_coding-intron (ENST00000220856.6, intron 2 of 3)	21283	ENST00000688585.1	ENSG00000289316	ENST00000688585			ENSG00000289316			lncRNA
chr19-183	chr19	18447047	18447309	+	1	NA	intron (ENST00000608165.1, intron 1 of 2)	protein_coding-intron (ENST00000262809.9, intron 8 of 11)	-1097	ENST00000623166.1	ENSG00000279262	ENST00000623166			ENSG00000279262			TEC
chr8-196	chr8	115333793	115334055	+	1	NA	Intergenic	Intergenic	158297	ENST00000518018.1	ENSG00000104447	ENST00000640765			TRPS1			protein_coding
chr20-177	chr20	62427535	62427797	+	1	NA	promoter-TSS (ENST00000252998.2)	protein_coding-promoter-TSS (ENST00000252998.2)	-127	ENST00000252998.2	ENSG00000130701	ENST00000252998			RBBP8NL			protein_coding
chr1-194	chr1	155688802	155689064	+	1	NA	promoter-TSS (ENST00000295566.8)	protein_coding-promoter-TSS (ENST00000295566.8)	40	ENST00000436865.5	ENSG00000163374	ENST00000361140			YY1AP1			protein_coding
chr3-5	chr3	37782619	37782881	+	1	NA	intron (ENST00000411817.2, intron 1 of 2)	protein_coding-intron (ENST00000264741.10, intron 25 of 27)	2735	ENST00000411817.2	ENSG00000144668	ENST00000264741			ITGA9			protein_coding
chr9-508	chr9	129107312	129107574	+	1	NA	TTS (ENST00000455830.2)	protein_coding-TTS (ENST00000455830.2)	1015	ENST00000679716.1	ENSG00000095321	ENST00000681325			CRAT			protein_coding
chr22-4	chr22	44455462	44455724	+	1	NA	Intergenic	Intergenic	12266	ENST00000415702.1	ENSG00000232655	ENST00000415702			LINC01656			lncRNA
chr12-20	chr12	130179158	130179420	+	1	NA	Intergenic	Intergenic	16825	ENST00000229030.5	ENSG00000111432	ENST00000229030			FZD10			protein_coding
chr16-401	chr16	84177209	84177471	+	1	NA	TTS (ENST00000341690.10)	protein_coding-TTS (ENST00000341690.10)	1199	ENST00000564928.1	ENSG00000154099	ENST00000378553			DNAAF1			protein_coding
chr16-146	chr16	28945491	28945753	+	1	NA	Intergenic	Intergenic	-5185	ENST00000564978.5	ENSG00000176953	ENST00000564978			NFATC2IP			protein_coding
chr9-22	chr9	88076818	88077080	+	1	NA	promoter-TSS (ENST00000661542.1)	lncRNA-promoter-TSS (ENST00000661542.1)	-7	ENST00000688975.1	ENSG00000287750	ENST00000701210			LINC03026			lncRNA
chr1-753	chr1	185585839	185586101	+	1	NA	intron (ENST00000665999.1, intron 2 of 4)	lncRNA-intron (ENST00000439633.7, intron 2 of 5)	42522	ENST00000665129.1	ENSG00000228309	ENST00000665999			LINC01350			lncRNA
chr7-388	chr7	157760313	157760575	+	1	NA	intron (ENST00000409483.5, intron 11 of 21)	protein_coding-intron (ENST00000389413.7, intron 11 of 21)	-19988	ENST00000448541.1	ENSG00000231515	ENST00000448541			ENSG00000231515			lncRNA
chr6-284	chr6	15021816	15022078	+	1	NA	promoter-TSS (ENST00000629853.2)	lncRNA-promoter-TSS (ENST00000629853.2)	17	ENST00000629853.2	ENSG00000234261	ENST00000659197			ENSG00000234261			lncRNA
chr17-8	chr17	59846436	59846698	+	1	NA	TTS (ENST00000364654.1)	snRNA-TTS (ENST00000364654.1)	977	ENST00000364654.1	ENSG00000201524	ENST00000364654			RNU6-450P			snRNA
chr1-135	chr1	6199583	6199845	+	1	NA	promoter-TSS (ENST00000234875.9)	protein_coding-promoter-TSS (ENST00000234875.9)	-119	ENST00000234875.9	ENSG00000116251	ENST00000462296			RPL22			protein_coding
chr20-137	chr20	56468513	56468775	+	1	NA	promoter-TSS (ENST00000023939.8)	protein_coding-promoter-TSS (ENST00000023939.8)	-14	ENST00000484084.5	ENSG00000022277	ENST00000023939			RTF2			protein_coding
chr20-2945	chr20	25310379	25310641	+	1	NA	promoter-TSS (ENST00000481556.1)	protein_coding-promoter-TSS (ENST00000481556.1)	-38	ENST00000481556.1	ENSG00000100997	ENST00000672406			ABHD12			protein_coding
chr9-199	chr9	113578995	113579257	+	1	NA	intron (ENST00000428429.1, intron 2 of 2)	protein_coding-intron (ENST00000342620.9, intron 1 of 4)	-1534	ENST00000374134.7	ENSG00000138835	ENST00000466314			RGS3			protein_coding
chr3-59	chr3	195443048	195443310	+	1	NA	promoter-TSS (ENST00000326793.11)	protein_coding-promoter-TSS (ENST00000326793.11)	-135	ENST00000490224.1	ENSG00000114331	ENST00000471593			ACAP2			protein_coding
chr19-38	chr19	12777664	12777926	+	1	NA	intron (ENST00000593143.5, intron 1 of 2)	protein_coding-intron (ENST00000586719.5, intron 1 of 8)	597	ENST00000591251.1	ENSG00000095066	ENST00000587178			HOOK2			protein_coding
chr1-608	chr1	201353397	201353659	+	1	NA	Intergenic	Intergenic	7829	ENST00000477035.1	ENSG00000118194	ENST00000476888			TNNT2			protein_coding
chr6-104	chr6	53548039	53548301	+	1	NA	promoter-TSS (ENST00000616923.5)	protein_coding-promoter-TSS (ENST00000616923.5)	36	ENST00000616923.5	ENSG00000001084	ENST00000504525			GCLC			protein_coding
chr12-174	chr12	59596112	59596374	+	1	NA	promoter-TSS (ENST00000549465.5)	protein_coding-promoter-TSS (ENST00000549465.5)	81	ENST00000549465.5	ENSG00000118596	ENST00000548444			SLC16A7			protein_coding
chr1-73	chr1	200738875	200739137	+	1	NA	promoter-TSS (ENST00000236925.8)	protein_coding-promoter-TSS (ENST00000236925.8)	113	ENST00000358823.7	ENSG00000118200	ENST00000358823			CAMSAP2			protein_coding
chr12-100	chr12	111685874	111686136	+	1	NA	promoter-TSS (ENST00000313698.9)	protein_coding-promoter-TSS (ENST00000313698.9)	-48	ENST00000313698.9	ENSG00000111271	ENST00000507688			ACAD10			protein_coding
chr8-139	chr8	125430033	125430295	+	1	NA	promoter-TSS (ENST00000311922.4)	protein_coding-promoter-TSS (ENST00000311922.4)	-194	ENST00000311922.4	ENSG00000173334	ENST00000521778			TRIB1			protein_coding
chr12-321	chr12	89769188	89769450	+	1	NA	intron (ENST00000651272.1, intron 2 of 6)	lncRNA-intron (ENST00000651272.1, intron 2 of 6)	15260	ENST00000517014.1	ENSG00000252823	ENST00000517014			RNU6-148P			snRNA
chr2-771	chr2	101001897	101002159	+	1	NA	promoter-TSS (ENST00000264258.8)	protein_coding-promoter-TSS (ENST00000264258.8)	-201	ENST00000409000.5	ENSG00000071082	ENST00000264258			RPL31			protein_coding
chr8-84	chr8	124856758	124857020	+	1	NA	intron (ENST00000666508.1, intron 3 of 4)	lncRNA-intron (ENST00000528090.5, intron 3 of 5)	627	ENST00000533496.1	ENSG00000255491	ENST00000533496			ENSG00000255491			lncRNA
chr14-817	chr14	105159443	105159705	+	1	NA	intron (ENST00000548203.1, intron 1 of 4)	protein_coding-intron (ENST00000331782.8, intron 2 of 25)	-1765	ENST00000553051.1	ENSG00000184916	ENST00000347004			JAG2			protein_coding
chr3-959	chr3	4688417	4688679	+	1	NA	exon (ENST00000302640.13, exon 29 of 61)	protein_coding-exon (ENST00000302640.13, exon 29 of 61)	-2776	ENST00000647673.1	ENSG00000150995	ENST00000491868			ITPR1			protein_coding
chr19-16	chr19	1181643	1181905	+	1	NA	intron (ENST00000585748.3, intron 2 of 11)	protein_coding-intron (ENST00000585748.3, intron 2 of 11)	4216	ENST00000585748.3	ENSG00000118046	ENST00000586358			STK11			protein_coding
chr1-365	chr1	151992681	151992943	+	1	NA	promoter-TSS (ENST00000368809.1)	protein_coding-promoter-TSS (ENST00000368809.1)	-234	ENST00000368809.1	ENSG00000197747	ENST00000368811			S100A10			protein_coding
chr12-488	chr12	2794567	2794829	+	1	NA	promoter-TSS (ENST00000001008.6)	protein_coding-promoter-TSS (ENST00000001008.6)	-272	ENST00000001008.6	ENSG00000004478	ENST00000001008			FKBP4			protein_coding
chr15-122	chr15	74461032	74461294	+	1	NA	promoter-TSS (ENST00000361351.8)	protein_coding-promoter-TSS (ENST00000361351.8)	-3	ENST00000395081.7	ENSG00000138629	ENST00000565494			UBL7			protein_coding
chr22-82	chr22	43015121	43015383	+	1	NA	promoter-TSS (ENST00000263246.8)	protein_coding-promoter-TSS (ENST00000263246.8)	-103	ENST00000263246.8	ENSG00000100266	ENST00000634914			PACSIN2			protein_coding
chrX-16	chrX	71532837	71533099	+	1	NA	promoter-TSS (ENST00000373701.7)	protein_coding-promoter-TSS (ENST00000373701.7)	-119	ENST00000699779.1	ENSG00000147162	ENST00000699751			OGT			protein_coding
chr9-48	chr9	77589538	77589800	+	1	NA	intron (ENST00000341700.7, intron 1 of 6)	protein_coding-intron (ENST00000341700.7, intron 1 of 6)	9424	ENST00000448540.1	ENSG00000228248	ENST00000448540			NUTF2P3			processed_pseudogene
chr12-331	chr12	122500897	122501159	+	1	NA	promoter-TSS (ENST00000536663.5)	protein_coding-promoter-TSS (ENST00000536663.5)	-96	ENST00000633063.3	ENSG00000033030	ENST00000544054			ZCCHC8			protein_coding
chr16-147	chr16	30395164	30395426	+	1	NA	promoter-TSS (ENST00000320159.2)	protein_coding-promoter-TSS (ENST00000320159.2)	-124	ENST00000320159.2	ENSG00000180035	ENST00000613509			ZNF48			protein_coding
chr9-88	chr9	128635305	128635567	+	1	NA	TTS (ENST00000451652.5)	protein_coding-TTS (ENST00000451652.5)	627	ENST00000483181.1	ENSG00000119333	ENST00000480613			DYNC2I2			protein_coding
chr5-56	chr5	139637466	139637728	+	1	NA	Intergenic	Intergenic	7405	ENST00000606683.1	ENSG00000272255	ENST00000606683			ENSG00000272255			lncRNA
chr12-89	chr12	67268705	67268967	+	1	NA	promoter-TSS (ENST00000539109.1)	protein_coding-promoter-TSS (ENST00000539109.1)	-522	ENST00000545606.6	ENSG00000111530	ENST00000545606			CAND1			protein_coding
chr9-136	chr9	110089873	110090135	+	1	NA	promoter-TSS (ENST00000480388.1)	protein_coding-promoter-TSS (ENST00000480388.1)	-193	ENST00000480388.1	ENSG00000157654	ENST00000497711			PALM2AKAP2			protein_coding
chr2-411	chr2	201071778	201072040	+	1	NA	promoter-TSS (ENST00000237889.9)	protein_coding-promoter-TSS (ENST00000237889.9)	-92	ENST00000237889.9	ENSG00000119013	ENST00000682325			NDUFB3			protein_coding
chr15-172	chr15	63599632	63599894	+	1	NA	promoter-TSS (ENST00000665700.1)	lncRNA-promoter-TSS (ENST00000665700.1)	-147	ENST00000665700.1	ENSG00000259248	ENST00000560350			USP3-AS1			lncRNA
chr19-569	chr19	11597851	11598113	+	1	NA	intron (ENST00000588174.1, intron 1 of 3)	protein_coding-intron (ENST00000361113.10, intron 1 of 3)	499	ENST00000361113.10	ENSG00000198551	ENST00000585493			ZNF627			protein_coding
chr14-61	chr14	20305862	20306124	+	1	NA	promoter-TSS (ENST00000258821.8)	protein_coding-promoter-TSS (ENST00000258821.8)	-33	ENST00000553828.1	ENSG00000136319	ENST00000554992			TTC5			protein_coding
chr6-245	chr6	34546764	34547026	+	1	NA	intron (ENST00000544425.2, intron 1 of 4)	protein_coding-intron (ENST00000374037.8, intron 1 of 5)	9434	ENST00000374037.8	ENSG00000124664	ENST00000374037			SPDEF			protein_coding
chr2-485	chr2	164842172	164842434	+	1	NA	promoter-TSS (ENST00000342193.8)	protein_coding-promoter-TSS (ENST00000342193.8)	101	ENST00000491126.6	ENSG00000082438	ENST00000474975			COBLL1			protein_coding
chrX-64	chrX	9351747	9352009	+	1	NA	Intergenic	Intergenic	-50873	ENST00000416620.2	ENSG00000232111	ENST00000416620			ENSG00000232111			processed_pseudogene
chr3-55	chr3	50359520	50359782	+	1	NA	promoter-TSS (ENST00000266025.4)	protein_coding-promoter-TSS (ENST00000266025.4)	-130	ENST00000266025.4	ENSG00000126062	ENST00000266025			TMEM115			protein_coding
chr17-47	chr17	28536814	28537076	+	1	NA	intron (ENST00000579795.6, intron 8 of 8)	protein_coding-intron (ENST00000226247.2, intron 7 of 7)	11228	ENST00000487844.1	ENSG00000109103	ENST00000335765			UNC119			protein_coding
chr19-188	chr19	37932372	37932634	+	1	NA	exon (ENST00000476317.2, exon 1 of 3)	protein_coding-exon (ENST00000476317.2, exon 1 of 3)	157	ENST00000476317.2	ENSG00000105738	ENST00000601881			SIPA1L3			protein_coding
chr8-44	chr8	109644867	109645129	+	1	NA	promoter-TSS (ENST00000276646.14)	protein_coding-promoter-TSS (ENST00000276646.14)	-176	ENST00000276646.14	ENSG00000147642	ENST00000276646			SYBU			protein_coding
chr16-235	chr16	20806065	20806327	+	1	NA	promoter-TSS (ENST00000261377.11)	protein_coding-promoter-TSS (ENST00000261377.11)	-77	ENST00000565884.5	ENSG00000196678	ENST00000564349			ERI2			protein_coding
chr20-2082	chr20	44531732	44531994	+	1	NA	promoter-TSS (ENST00000372887.5)	protein_coding-promoter-TSS (ENST00000372887.5)	-46	ENST00000372889.5	ENSG00000168734	ENST00000372892			PKIG			protein_coding
chr2-216	chr2	96858237	96858499	+	1	NA	promoter-TSS (ENST00000393537.5)	protein_coding-promoter-TSS (ENST00000393537.5)	-352	ENST00000393537.5	ENSG00000213337	ENST00000443120			ANKRD39			protein_coding
chr17-621	chr17	1967316	1967578	+	1	NA	intron (ENST00000331238.7, intron 1 of 1)	protein_coding-intron (ENST00000331238.7, intron 1 of 1)	-28167	ENST00000574520.3	ENSG00000262445	ENST00000574520			ENSG00000262445			lncRNA
chr9-162	chr9	133873256	133873518	+	1	NA	intron (ENST00000486113.1, intron 2 of 2)	protein_coding-intron (ENST00000371850.8, intron 2 of 29)	65914	ENST00000472905.1	ENSG00000160293	ENST00000486113			VAV2			protein_coding
chr8-33	chr8	101492538	101492800	+	1	NA	promoter-TSS (ENST00000395927.1)	protein_coding-promoter-TSS (ENST00000395927.1)	-89	ENST00000395927.1	ENSG00000083307	ENST00000517674			GRHL2			protein_coding
chr2-355	chr2	237076000	237076262	+	1	NA	intron (ENST00000418430.1, intron 1 of 1)	lncRNA-intron (ENST00000418430.1, intron 1 of 1)	8662	ENST00000665401.1	ENSG00000227252	ENST00000665401			COPS8-DT			lncRNA
chr17-1631	chr17	1684516	1684778	+	1	NA	exon (ENST00000572621.5, exon 1 of 42)	protein_coding-exon (ENST00000572621.5, exon 1 of 42)	154	ENST00000703538.1	ENSG00000174231	ENST00000573681			PRPF8			protein_coding
chr9-163	chr9	133992905	133993167	+	1	NA	promoter-TSS (ENST00000371850.8)	protein_coding-promoter-TSS (ENST00000371850.8)	-432	ENST00000371851.1	ENSG00000160293	ENST00000486113			VAV2			protein_coding
chr15-34	chr15	63121606	63121868	+	1	NA	promoter-TSS (ENST00000261893.9)	protein_coding-promoter-TSS (ENST00000261893.9)	-96	ENST00000413507.3	ENSG00000103642	ENST00000261893			LACTB			protein_coding
chr13-64	chr13	36819073	36819335	+	1	NA	promoter-TSS (ENST00000255476.3)	protein_coding-promoter-TSS (ENST00000255476.3)	-18	ENST00000255476.3	ENSG00000133111	ENST00000255476			RFXAP			protein_coding
chr20-1312	chr20	25103925	25104187	+	1	NA	Intergenic	Intergenic	4951	ENST00000256654.8	ENSG00000225069	ENST00000256654			ENSG00000225069			processed_pseudogene
chr2-94	chr2	69644097	69644359	+	1	NA	promoter-TSS (ENST00000406297.7)	protein_coding-promoter-TSS (ENST00000406297.7)	-197	ENST00000418066.2	ENSG00000196975	ENST00000484219			ANXA4			protein_coding
chr16-225	chr16	707185	707447	+	1	NA	promoter-TSS (ENST00000623057.2)	TEC-promoter-TSS (ENST00000623057.2)	-334	ENST00000623057.2	ENSG00000279255	ENST00000623057			ENSG00000279255			TEC
chr3-783	chr3	195804360	195804622	+	1	NA	intron (ENST00000480843.5, intron 1 of 23)	protein_coding-intron (ENST00000346145.8, intron 1 of 23)	7366	ENST00000346145.8	ENSG00000145113	ENST00000464234			MUC4			protein_coding
chr16-275	chr16	86844774	86845036	+	1	NA	Intergenic	Intergenic	-54451	ENST00000670133.1	ENSG00000287161	ENST00000670133			ENSG00000287161			lncRNA
chr4-305	chr4	73259065	73259327	+	1	NA	promoter-TSS (ENST00000330838.10)	protein_coding-promoter-TSS (ENST00000330838.10)	-13	ENST00000502790.1	ENSG00000250220	ENST00000502790			ANKRD17-DT			lncRNA
chr14-411	chr14	61280432	61280694	+	1	NA	promoter-TSS (ENST00000554835.1)	protein_coding-promoter-TSS (ENST00000554835.1)	-390	ENST00000555542.5	ENSG00000027075	ENST00000555082			PRKCH			protein_coding
chr7-210	chr7	131109893	131110155	+	1	NA	promoter-TSS (ENST00000416992.6)	protein_coding-promoter-TSS (ENST00000416992.6)	-72	ENST00000421797.6	ENSG00000128585	ENST00000352689			MKLN1			protein_coding
chr9-35	chr9	37465662	37465924	+	1	NA	promoter-TSS (ENST00000307750.5)	protein_coding-promoter-TSS (ENST00000307750.5)	-343	ENST00000307750.5	ENSG00000168795	ENST00000307750			ZBTB5			protein_coding
chr9-167	chr9	136482834	136483096	+	1	NA	promoter-TSS (ENST00000354376.3)	lncRNA-promoter-TSS (ENST00000354376.3)	75	ENST00000690691.1	ENSG00000148396	ENST00000313050			SEC16A			protein_coding
chr12-365	chr12	89524792	89525054	+	1	NA	promoter-TSS (ENST00000529983.3)	protein_coding-promoter-TSS (ENST00000529983.3)	-127	ENST00000529983.3	ENSG00000257594	ENST00000529983			GALNT4			protein_coding
chr9-129	chr9	81502695	81502957	+	1	NA	Intergenic	Intergenic	14518	ENST00000457409.1	ENSG00000237072	ENST00000457409			ENSG00000237072			processed_pseudogene
chr5-105	chr5	36745305	36745567	+	1	NA	Intergenic	Intergenic	-20232	ENST00000508745.2	ENSG00000250155	ENST00000510740			SLC1A3-AS1			lncRNA
chr3-52	chr3	133383208	133383470	+	1	NA	intron (ENST00000511388.1, intron 1 of 2)	protein_coding-intron (ENST00000321871.11, intron 4 of 5)	3622	ENST00000511388.1	ENSG00000144868	ENST00000511555			TMEM108			protein_coding
chr12-145	chr12	122659588	122659850	+	1	NA	Intergenic	Intergenic	25589	ENST00000613543.1	ENSG00000274191	ENST00000613543			ENSG00000274191			lncRNA
chr19-172	chr19	1254542	1254804	+	1	NA	TTS (ENST00000590136.1)	protein_coding-TTS (ENST00000590136.1)	989	ENST00000590136.1	ENSG00000167470	ENST00000591302			MIDN			protein_coding
chr14-181	chr14	51989287	51989549	+	1	NA	promoter-TSS (ENST00000261700.8)	protein_coding-promoter-TSS (ENST00000261700.8)	-96	ENST00000557553.5	ENSG00000087302	ENST00000553707			RTRAF			protein_coding
chr11-175	chr11	34433987	34434249	+	1	NA	Intergenic	Intergenic	3238	ENST00000405137.1	ENSG00000216708	ENST00000405137			CIR1P3			processed_pseudogene
chr9-2	chr9	92152056	92152318	+	1	NA	promoter-TSS (ENST00000434944.1)	lncRNA-promoter-TSS (ENST00000434944.1)	-407	ENST00000434944.1	ENSG00000290644	ENST00000430945			ENSG00000290644			lncRNA
chr10-144	chr10	59906507	59906769	+	1	NA	promoter-TSS (ENST00000263102.7)	protein_coding-promoter-TSS (ENST00000263102.7)	-82	ENST00000263102.7	ENSG00000108091	ENST00000491922			CCDC6			protein_coding
chr14-8	chr14	90383177	90383439	+	1	NA	promoter-TSS (ENST00000615251.1)	lncRNA-promoter-TSS (ENST00000615251.1)	-57	ENST00000615251.1	ENSG00000275198	ENST00000615251			LINC02960			lncRNA
chr16-87	chr16	30957597	30957859	+	1	NA	promoter-TSS (ENST00000262519.14)	protein_coding-promoter-TSS (ENST00000262519.14)	-26	ENST00000262519.14	ENSG00000099381	ENST00000684162			SETD1A			protein_coding
chr17-156	chr17	81722398	81722660	+	1	NA	Intergenic	Intergenic	6557	ENST00000573246.1	ENSG00000183048	ENST00000571876			SLC25A10			protein_coding
chr9-861	chr9	130962675	130962937	+	1	NA	Intergenic	Intergenic	-23520	ENST00000463475.1	ENSG00000130720	ENST00000448616			FIBCD1			protein_coding
chr11-473	chr11	71299500	71299762	+	1	NA	Intergenic	Intergenic	-47054	ENST00000601538.6	ENSG00000162105	ENST00000470759			SHANK2			protein_coding
chr16-82	chr16	72929469	72929731	+	1	NA	intron (ENST00000641206.2, intron 11 of 17)	protein_coding-intron (ENST00000268489.10, intron 3 of 9)	-39766	ENST00000563625.1	ENSG00000140836	ENST00000641018			ZFHX3			protein_coding
chr8-126	chr8	124855365	124855627	+	1	NA	intron (ENST00000666508.1, intron 3 of 4)	lncRNA-intron (ENST00000528090.5, intron 3 of 5)	2020	ENST00000533496.1	ENSG00000255491	ENST00000533496			ENSG00000255491			lncRNA
chr19-445	chr19	16565020	16565282	+	1	NA	promoter-TSS (ENST00000597851.1)	lncRNA-promoter-TSS (ENST00000597851.1)	-400	ENST00000597851.1	ENSG00000269085	ENST00000597851			ENSG00000269085			lncRNA
chr19-143	chr19	40226919	40227181	+	1	NA	promoter-TSS (ENST00000221818.5)	protein_coding-promoter-TSS (ENST00000221818.5)	-353	ENST00000599263.6	ENSG00000105219	ENST00000221818			CCNP			protein_coding
chrX-181	chrX	152958816	152959078	+	1	NA	intron (ENST00000695776.1, intron 18 of 24)	protein_coding-intron (ENST00000318504.12, intron 14 of 20)	17246	ENST00000454925.1	ENSG00000147394	ENST00000535861			ZNF185			protein_coding
chr3-175	chr3	129564930	129565192	+	1	NA	intron (ENST00000512744.5, intron 2 of 12)	protein_coding-intron (ENST00000324093.9, intron 25 of 35)	930	ENST00000512744.5	ENSG00000004399	ENST00000504524			PLXND1			protein_coding
chr15-16	chr15	71295009	71295271	+	1	NA	intron (ENST00000355327.7, intron 6 of 17)	protein_coding-intron (ENST00000261862.8, intron 6 of 17)	-36980	ENST00000648513.1	ENSG00000260586	ENST00000648513			ENSG00000260586			lncRNA
chr19-132	chr19	58475921	58476183	+	1	NA	promoter-TSS (ENST00000335841.8)	protein_coding-promoter-TSS (ENST00000335841.8)	-94	ENST00000594468.1	ENSG00000083838	ENST00000610298			ZNF446			protein_coding
chr1-124	chr1	151166450	151166712	+	1	NA	promoter-TSS (ENST00000368908.10)	protein_coding-promoter-TSS (ENST00000368908.10)	-88	ENST00000497147.1	ENSG00000163156	ENST00000497147			SCNM1			protein_coding
chr10-551	chr10	118592978	118593240	+	1	NA	TTS (ENST00000636925.1)	protein_coding-TTS (ENST00000636925.1)	2260	ENST00000636925.1	ENSG00000119973	ENST00000636925			PRLHR			protein_coding
chr14-164	chr14	63659749	63660011	+	1	NA	intron (ENST00000668431.1, intron 2 of 2)	lncRNA-intron (ENST00000656655.1, intron 2 of 2)	-8381	ENST00000363823.2	ENSG00000200693	ENST00000363823			U3			snoRNA
chr3-929	chr3	141311586	141311848	+	1	NA	exon (ENST00000636601.1, exon 8 of 9)	protein_coding-exon (ENST00000636601.1, exon 8 of 9)	-3784	ENST00000514722.1	ENSG00000249540	ENST00000514722			PHF5AP7			processed_pseudogene
chr1-31	chr1	24322274	24322536	+	1	NA	promoter-TSS (ENST00000236255.4)	protein_coding-promoter-TSS (ENST00000236255.4)	-504	ENST00000437965.1	ENSG00000232298	ENST00000437965			GRHL3-AS1			lncRNA
chr9-29	chr9	134702981	134703243	+	1	NA	intron (ENST00000371820.4, intron 4 of 65)	protein_coding-intron (ENST00000371817.8, intron 4 of 65)	-28481	ENST00000469093.1	ENSG00000130635	ENST00000371820			COL5A1			protein_coding
chr2-97	chr2	109644601	109644863	+	1	NA	Intergenic	Intergenic	-20477	ENST00000451001.1	ENSG00000230603	ENST00000451001			ENSG00000230603			processed_pseudogene
chr20-303	chr20	32475309	32475571	+	1	NA	intron (ENST00000621426.7, intron 4 of 10)	protein_coding-intron (ENST00000326071.8, intron 1 of 2)	8031	ENST00000359676.9	ENSG00000197183	ENST00000485364			NOL4L			protein_coding
chr12-90	chr12	92929453	92929715	+	1	NA	promoter-TSS (ENST00000322349.13)	protein_coding-promoter-TSS (ENST00000322349.13)	-253	ENST00000547833.5	ENSG00000102189	ENST00000553019			EEA1			protein_coding
chr2-234	chr2	232296002	232296264	+	1	NA	intron (ENST00000498319.2, intron 2 of 3)	protein_coding-intron (ENST00000273009.10, intron 13 of 13)	-32375	ENST00000429283.2	ENSG00000144535	ENST00000409401			DIS3L2			protein_coding
chr4-96	chr4	103019591	103019853	+	1	NA	promoter-TSS (ENST00000296422.12)	protein_coding-promoter-TSS (ENST00000296422.12)	-3	ENST00000394789.7	ENSG00000164037	ENST00000511253			SLC9B1			protein_coding
chr4-144	chr4	76051480	76051742	+	1	NA	intron (ENST00000504914.5, intron 1 of 2)	protein_coding-intron (ENST00000341029.9, intron 1 of 9)	-10196	ENST00000503860.1	ENSG00000169248	ENST00000306621			CXCL11			protein_coding
chr16-83	chr16	75064505	75064767	+	1	NA	intron (ENST00000564320.1, intron 2 of 5)	protein_coding-intron (ENST00000320619.10, intron 1 of 5)	-30508	ENST00000579084.1	ENSG00000186187	ENST00000568494			ZNRF1			protein_coding
chr3-188	chr3	122534098	122534360	+	1	NA	exon (ENST00000462315.5, exon 10 of 10)	protein_coding-exon (ENST00000462315.5, exon 10 of 10)	11774	ENST00000489652.1	ENSG00000138496	ENST00000466126			PARP9			protein_coding
chr1-1056	chr1	53238421	53238683	+	1	NA	promoter-TSS (ENST00000371466.4)	protein_coding-promoter-TSS (ENST00000371466.4)	2	ENST00000458151.2	ENSG00000226754	ENST00000458151			MAGOH-DT			lncRNA
chr16-186	chr16	1378998	1379260	+	1	NA	promoter-TSS (ENST00000513783.1)	protein_coding-promoter-TSS (ENST00000513783.1)	-8	ENST00000513783.1	ENSG00000059145	ENST00000674376			UNKL			protein_coding
chr3-61	chr3	64613145	64613407	+	1	NA	intron (ENST00000498707.5, intron 22 of 39)	protein_coding-intron (ENST00000295903.8, intron 21 of 38)	2874	ENST00000481060.2	ENSG00000163638	ENST00000467119			ADAMTS9			protein_coding
